Konstrukteur_ID,Name
alfa,Alfa Romeo
alphatauri,AlphaTauri
alpine,Alpine F1 Team
aston_martin,Aston Martin
ferrari,Ferrari
haas,Haas F1 Team
mclaren,McLaren
mercedes,Mercedes
red_bull,Red Bull
williams,Williams
rb,RB F1 Team
sauber,Sauber
